"","Sexo","Educ","cargo","Sal"
"220","fem","sec","outro","3.98"
"221","masc","prim","outro","4.64"
"222","fem","prim","outro","3.34"
"223","fem","sec","outro","3.21"
"224","fem","sec","outro","4.36"
"225","fem","prim","outro","2.48"
"226","masc","sec","outro","3"
"227","fem","sec","outro","5.27"
"228","fem","sec","outro","5.06"
"229","fem","sec","outro","9.13"
"230","masc","sec","outro","7.98"
"231","fem","prim","outro","3.73"
"232","fem","sec","outro","2.06"
"233","masc","sec","outro","5.65"
"234","fem","sec","outro","4.89"
"235","masc","sec","outro","3.86"
"236","fem","prim","outro","5.68"
"237","fem","prim","outro","6.16"
"238","masc","sec","gerencial","12.53"
"239","fem","sec","gerencial","8.63"
"240","masc","prim","outro","3.75"
"241","masc","sec","outro","1.19"
"242","masc","sec","gerencial","15.55"
"243","masc","prim","outro","3"
"244","fem","prim","outro","7.02"
"245","fem","prim","outro","4.91"
"246","masc","prim","outro","5.15"
"247","fem","prim","outro","0.99"
